"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"d:\UIT\NamBonUIT\nostrpulse-full\GEMINI.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\UIT\NamBonUIT\nostrpulse-full\README.md", "Markdown", 0, 0, 0, 285, 0, 0, 0, 0, 0, 67, 352
"d:\UIT\NamBonUIT\nostrpulse-full\components.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\UIT\NamBonUIT\nostrpulse-full\components\bounty\TaskResultView.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 4
"d:\UIT\NamBonUIT\nostrpulse-full\dist\chunk-5S2EUFLN.js", "JavaScript", 0, 0, 0, 0, 0, 642, 0, 0, 3, 5, 650
"d:\UIT\NamBonUIT\nostrpulse-full\dist\db-IMX2H4UJ.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"d:\UIT\NamBonUIT\nostrpulse-full\dist\mcp-entry.js", "JavaScript", 0, 0, 0, 0, 0, 71877, 0, 0, 93, 19, 71989
"d:\UIT\NamBonUIT\nostrpulse-full\dist\package.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\UIT\NamBonUIT\nostrpulse-full\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 2, 3, 19
"d:\UIT\NamBonUIT\nostrpulse-full\lib\nip90.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\UIT\NamBonUIT\nostrpulse-full\next.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\UIT\NamBonUIT\nostrpulse-full\package-lock.json", "JSON", 0, 0, 12381, 0, 0, 0, 0, 0, 0, 1, 12382
"d:\UIT\NamBonUIT\nostrpulse-full\package.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"d:\UIT\NamBonUIT\nostrpulse-full\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\UIT\NamBonUIT\nostrpulse-full\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\UIT\NamBonUIT\nostrpulse-full\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\UIT\NamBonUIT\nostrpulse-full\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\UIT\NamBonUIT\nostrpulse-full\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\UIT\NamBonUIT\nostrpulse-full\public\widget.js", "JavaScript", 0, 0, 0, 0, 0, 672, 0, 0, 32, 57, 761
"d:\UIT\NamBonUIT\nostrpulse-full\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
